RouteID|BMP|EMP|ValueDate|Comments|ValueNumeric|StateID|BeginDate|ValueText|DataItem
2930093000000|0.6|0.7|2008|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
2930093000000|0.7|0.8|2008|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
2930093000000|0.8|0.9|2008|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
2930093000000|0.9|1.0|2008|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
2930093000000|1.0|1.1|2008|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
2930093000000|1.1|1.2|2008|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
2930093000000|1.2|1.3|2008|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
2930093000000|1.3|1.4|2008|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
2930093000000|1.4|1.5|2008|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
2930093000000|1.5|1.6|2008|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
2930093000000|1.6|1.7|2008|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
2930093000000|1.7|1.8|2008|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
2930093000000|1.8|1.9|2008|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
2930093000000|1.9|2.0|2008|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
2930093000000|2.0|2.1|2008|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
2930093000000|2.1|2.2|2008|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
2930093000000|2.2|2.3|2008|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
2930093000000|2.3|2.4|2008|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
2930093000000|2.4|2.5|2008|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
2930093000000|2.5|2.6|2008|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
2930093000000|2.6|2.7|2008|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
2930093000000|2.7|2.8|2008|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
2930093000000|2.8|2.9|2008|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
2930093000000|2.9|3.0|2008|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
2930093000000|3.0|3.1|2008|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
2930093000000|3.1|3.2|2008|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
2930093000000|3.2|3.3|2008|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
2930093000000|3.3|3.4|2008|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
2930093000000|3.4|3.42|2008|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|0.35|0.4|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|0.4|0.5|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|0.5|0.6|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|0.6|0.7|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|0.7|0.8|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|0.8|0.9|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|0.9|1.0|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|1.0|1.1|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|1.1|1.2|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|1.2|1.3|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|1.3|1.4|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|1.4|1.5|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|1.5|1.6|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|1.6|1.7|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|1.7|1.8|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|1.8|1.9|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|1.9|2.0|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|2.0|2.1|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|2.1|2.2|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|4.9|5.0|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|5.0|5.1|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|5.1|5.2|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|5.2|5.3|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|5.3|5.4|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|5.4|5.5|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|5.5|5.6|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|5.6|5.7|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|5.7|5.8|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|5.8|5.9|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|5.9|6.0|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
0230009000000|6.0|6.1|1930|||54|01/01/2023||YEAR_LAST_CONSTRUCTION
