RouteID|BeginPoint|EndPoint|ValueDate|Comments|ValueNumeric|StateCode|BeginDate|ValueText|DataItem
1740012000000|0.14|0.9|1980|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
1740024000000|4.78|5.67|1986|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
1740024020000|0.0|0.75|1979|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
1740024020000|0.75|0.87|1979|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
1740024020000|0.87|1.09|1988|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
1740024020000|1.09|1.86|1980|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
1740024020000|1.86|2.95|1983|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
1740024270000|0.0|0.41|1991|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
1740031000000|0.5|1.45|1971|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
1740050160000|0.12|0.54|1992|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
2540031010000|1.72|2.03|1972|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
2540054000000|0.0|0.183|1973|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
2540060000000|2.11|2.61|1988|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
2540072000000|1.02|1.79|1977|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
2540072000000|2.07|2.67|1978|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
2540072020000|0.0|0.5|1972|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
2540072020000|0.5|0.72|1972|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
2540072020000|0.72|1.17|1972|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
2540072020000|1.17|1.71|1972|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
2540072020000|1.76|1.93|1972|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
2540073000000|2.45|3.55|1991|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
2540073730000|2.11|2.33|1989|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
2540073730000|2.673|3.34|1982|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
2540250320000|2.05|2.49|1987|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
31100790000NB|157.0|160.5|2019|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
31100790000NB|160.5|160.52|2019|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
31200190000NB|8.29|8.806|1986|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
31200190000NB|8.99|9.16|1986|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
31200190000NB|9.54|9.94|1986|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
31200190000NB|10.59|11.08|1970|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
31200190000NB|11.51|12.33|1978|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
31200190000NB|13.74|14.19|1978|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
31200190000NB|14.25|14.3|1972|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
31200190000NB|14.3|14.35|1972|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
31200190000NB|14.44|14.5|1972|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
31200190000NB|14.5|14.8|1972|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
31200190000NB|14.8|14.98|1972|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
31200190000NB|15.62|16.49|1972|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
31200190000NB|16.49|17.021|1972|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
31201190000NB|7.81|9.82|1978|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
31201190000NB|11.9|12.06|1978|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
31201190000NB|13.78|13.8|1978|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
31201190000NB|13.8|13.99|1978|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
31201190000NB|13.99|14.1|1978|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
31201190000NB|14.1|14.22|1978|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
31201190000NB|14.42|14.62|1978|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
31201190000NB|14.85|15.15|1978|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
31201190000NB|15.72|16.0|1978|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
31201190000NB|16.82|17.35|1978|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
31201190000NB|17.44|18.2|1987|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
31201190000NB|18.2|19.66|1987|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
31201190000NB|19.66|20.0|1987|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
31201190000NB|20.0|20.47|1987|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
3130007000000|0.0|3.42|1962|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
3130007000000|4.42|4.54|1970|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
3130007000000|13.21|13.45|1980|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
3130007000000|22.54|24.0|1982|same as 2020||54|01/01/2022||YEAR_LAST_CONSTRUCTION
