County_Code,County,SignSys_Code,SignSysDescript,Miles,Miles_Percentage,Lane_Miles,Lanes_Percentage,Annual_Vehicle_Miles_Millions,Daily_Vehicle_Miles_Travel_Thousands,VMT_Percentage,RowOrder
46,Taylor,8,"Harp Routes                                       ",12.16,3.11,24.32,3.11,0.12,0.34,0.11,1
46,Taylor,99,Total County,391.24,100,782.04,100,112.28,307.65,100,2
47,Tucker,1,"Interstates                                       ",0,0,0,0,0,0,0,1
47,Tucker,2,"US Routes                                         ",27.76,6.53,55.52,6.54,23.46,64.28,35.24,1
47,Tucker,3,"WV Routes                                         ",73.05,17.2,145.44,17.13,34.07,93.33,51.16,1
47,Tucker,4,"County Routes                                     ",313.63,73.82,627.25,73.88,8.56,23.45,12.86,1
47,Tucker,6,"State Park and Forest Roads                       ",8.89,2.09,17.78,2.09,0.48,1.3,0.71,1
47,Tucker,7,"Federal Aid Non-State (FANS)                      ",0,0,0,0,0,0,0,1
47,Tucker,8,"Harp Routes                                       ",1.5,0.35,3,0.35,0.02,0.05,0.03,1
47,Tucker,99,Total County,424.83,100,848.99,100,66.59,182.41,100,2
48,Tyler,1,"Interstates                                       ",0,0,0,0,0,0,0,1
48,Tyler,2,"US Routes                                         ",0,0,0,0,0,0,0,1
48,Tyler,3,"WV Routes                                         ",58.78,14.52,117.56,14.52,55.65,152.46,76.74,1
48,Tyler,4,"County Routes                                     ",344.23,85.05,688.46,85.05,16.84,46.13,23.22,1
