RouteID|BMP|EMP|ValueNumeric|DataItem|BeginDate|ValueText|ValueDate|StateID|Comments
1740024060000|0.29|0.6|0.03|Curves_A|01/01/2024|||54|
4140048000000|0.0|1.9|0.221|Curves_A|01/01/2024|||54|
5040003000000|3.94|4.06|0.073|Curves_A|01/01/2024|||54|
5440047040000|0.0|0.23|0.013|Curves_A|01/01/2024|||54|
5440047040000|0.23|0.93|0.087|Curves_A|01/01/2024|||54|
5440047040000|0.93|2.86|0.145|Curves_A|01/01/2024|||54|
29200500000EB|8.0|10.56|0.04|Curves_A|01/01/2024|||54|
2040012010000|0.0|0.6|0.134|Curves_A|01/01/2024|||54|
0640031000000|0.16|0.5|0.13|Curves_A|01/01/2024|||54|
1230042000000|16.97|21.26|0.025|Curves_A|01/01/2024|||54|
1230042000000|21.78|22.74|0.16|Curves_A|01/01/2024|||54|
3174813001900|0.0|1.24|0.104|Curves_A|01/01/2024|||54|
0940003000000|4.14|5.77|0.53|Curves_A|01/01/2024|||54|
3930072000000|18.42|20.44|0.279|Curves_A|01/01/2024|||54|
1640010000000|4.6|5.8|0.245|Curves_A|01/01/2024|||54|
4240031000000|0.0|1.81|0.034|Curves_A|01/01/2024|||54|
1740019290000|0.0|0.57|0.004|Curves_A|01/01/2024|||54|
2040025470000|0.36|0.57|0.061|Curves_A|01/01/2024|||54|
1340045010000|0.0|0.539|0.023|Curves_A|01/01/2024|||54|
3140067000000|6.22|7.97|0.029|Curves_A|01/01/2024|||54|
2040008000000|0.86|1.17|0.024|Curves_A|01/01/2024|||54|
2040008000000|2.72|3.24|0.05|Curves_A|01/01/2024|||54|
0530002000000|3.33|3.88|0.06|Curves_A|01/01/2024|||54|
0530002000000|3.88|6.35|0.506|Curves_A|01/01/2024|||54|
0530002000000|6.799|7.06|0.04|Curves_A|01/01/2024|||54|
0530002000000|7.06|7.47|0.105|Curves_A|01/01/2024|||54|
0530002000000|7.59|8.67|0.449|Curves_A|01/01/2024|||54|
0530002000000|10.14|10.72|0.153|Curves_A|01/01/2024|||54|
0530002000000|15.08|15.4|0.046|Curves_A|01/01/2024|||54|
0530002000000|15.75|16.16|0.025|Curves_A|01/01/2024|||54|
28100770016NB|8.98|9.19|0.023|Curves_A|01/01/2024|||54|
28100770016NB|9.19|9.5|0.041|Curves_A|01/01/2024|||54|
28100770016NB|9.5|9.79|0.022|Curves_A|01/01/2024|||54|
3140070000000|0.387|1.47|0.053|Curves_A|01/01/2024|||54|
4040050000000|13.38|14.06|0.044|Curves_A|01/01/2024|||54|
33205220000NB|0.0|6.35|1.419|Curves_A|01/01/2024|||54|
33205220000NB|6.35|7.81|0.005|Curves_A|01/01/2024|||54|
33205220000NB|12.67|13.11|0.009|Curves_A|01/01/2024|||54|
33205220000NB|14.68|15.97|0.436|Curves_A|01/01/2024|||54|
54100770000NB|156.99|158.69|0.062|Curves_A|01/01/2024|||54|
54100770000NB|158.69|160.38|0.067|Curves_A|01/01/2024|||54|
54100770000NB|160.38|161.66|0.169|Curves_A|01/01/2024|||54|
54100770000NB|161.66|162.73|0.388|Curves_A|01/01/2024|||54|
54100770000NB|162.73|168.205|3.18|Curves_A|01/01/2024|||54|
54100770000NB|168.205|168.37|0.136|Curves_A|01/01/2024|||54|
54100770000NB|168.37|172.29|2.932|Curves_A|01/01/2024|||54|
54100770000NB|180.18|181.674|0.153|Curves_A|01/01/2024|||54|
54100770000NB|181.674|185.34|0.407|Curves_A|01/01/2024|||54|
54100770000NB|185.64|186.72|0.041|Curves_A|01/01/2024|||54|
54100770000NB|186.72|187.21|0.038|Curves_A|01/01/2024|||54|
52300070007WB|0.0|0.23|0.034|Curves_A|01/01/2024|||54|
52300070007WB|0.23|0.33|0.1|Curves_A|01/01/2024|||54|
19203400000NB|6.9|8.56|0.11|Curves_A|01/01/2024|||54|
19203400000NB|8.56|9.13|0.071|Curves_A|01/01/2024|||54|
19203400000NB|9.13|9.55|0.067|Curves_A|01/01/2024|||54|
19203400000NB|9.55|10.41|0.129|Curves_A|01/01/2024|||54|
19203400000NB|10.41|11.86|0.457|Curves_A|01/01/2024|||54|
19203400000NB|11.9|12.047|0.032|Curves_A|01/01/2024|||54|
19203400000NB|12.047|12.88|0.3|Curves_A|01/01/2024|||54|
19203400000NB|12.88|13.26|0.052|Curves_A|01/01/2024|||54|
19203400000NB|14.66|14.86|0.119|Curves_A|01/01/2024|||54|
19203400000NB|14.86|15.31|0.211|Curves_A|01/01/2024|||54|
2530310000000|8.35|8.45|0.031|Curves_A|01/01/2024|||54|
2530310000000|10.1|10.22|0.057|Curves_A|01/01/2024|||54|
0140046010000|0.0|1.62|0.028|Curves_A|01/01/2024|||54|
16202200000NB|10.0|10.53|0.25|Curves_A|01/01/2024|||54|
16202200000NB|10.53|10.69|0.16|Curves_A|01/01/2024|||54|
16202200000NB|10.7|11.7|0.779|Curves_A|01/01/2024|||54|
16202200000NB|11.8|12.96|1.024|Curves_A|01/01/2024|||54|
4140016160000|0.0|0.42|0.052|Curves_A|01/01/2024|||54|
5230007000000|2.0|2.55|0.214|Curves_A|01/01/2024|||54|
5230007000000|35.64|36.52|0.017|Curves_A|01/01/2024|||54|
3940003000000|4.6|7.27|0.077|Curves_A|01/01/2024|||54|
4830002000000|0.0|2.27|1.552|Curves_A|01/01/2024|||54|
4830002000000|2.27|2.84|0.038|Curves_A|01/01/2024|||54|
