ValueDate,RouteID,BeginPoint,EndPoint,IRI,SURFACE_TYPE,RUTTING,FAULTING,CRACKING_PERCENT
2025,01201190000NB,18.6,18.68,69.6,ASP,0.05,0.0,0.0
2025,01202500000NB,0.0,0.1,116.4,ASP,0.1,0.0,0.6
2025,01202500000NB,0.1,0.2,62.4,ASP,0.09,0.0,0.0
2025,01202500000NB,0.2,0.3,78.5,ASP,0.1,0.0,0.0
2025,01202500000NB,0.3,0.4,80.9,ASP,0.1,0.0,0.0
2025,01202500000NB,0.4,0.5,112.1,ASP,0.09,0.0,0.0
2025,01202500000NB,0.5,0.6,121.8,ASP,0.11,0.0,0.0
2025,01202500000NB,0.6,0.7,57.7,ASP,0.1,0.0,0.0
2025,01202500000NB,0.7,0.8,55.6,ASP,0.12,0.0,0.0
2025,01202500000NB,0.8,0.9,57.2,ASP,0.13,0.0,0.0
2025,01202500000NB,0.9,1.0,69.9,ASP,0.13,0.0,0.0
2025,01202500000NB,1.0,1.1,55.3,ASP,0.13,0.0,0.0
2025,01202500000NB,1.1,1.2,89.6,ASP,0.19,0.0,0.0
2025,01202500000NB,1.2,1.3,78.3,ASP,0.21,0.0,0.0
2025,01202500000NB,1.3,1.4,70.2,ASP,0.18,0.0,0.1
2025,01202500000NB,1.4,1.5,73.4,ASP,0.16,0.0,0.0
2025,01202500000NB,1.5,1.6,84.1,ASP,0.16,0.0,0.0
2025,01202500000NB,1.6,1.7,82.9,ASP,0.16,0.0,0.3
2025,01202500000NB,1.7,1.8,115.5,ASP,0.14,0.0,1.3
2025,01202500000NB,1.8,1.9,73.1,ASP,0.15,0.0,0.0
2025,01202500000NB,1.9,2.0,65.2,ASP,0.14,0.0,0.0
2025,01202500000NB,2.0,2.1,85.6,ASP,0.16,0.0,0.0
2025,01202500000NB,2.1,2.2,58.6,ASP,0.11,0.0,0.3
2025,01202500000NB,2.2,2.3,78.1,ASP,0.13,0.0,0.0
2025,01202500000NB,2.3,2.4,59.7,ASP,0.09,0.0,0.0
2025,01202500000NB,2.4,2.5,121.8,ASP,0.09,0.0,0.0
2025,01202500000NB,2.5,2.6,64.5,ASP,0.15,0.0,0.0
2025,01202500000NB,2.6,2.7,62.6,ASP,0.14,0.0,0.0
2025,01202500000NB,2.7,2.8,63.1,ASP,0.1,0.0,0.0
2025,01202500000NB,2.8,2.9,59.6,ASP,0.13,0.0,0.0
2025,01202500000NB,2.9,3.0,53.6,ASP,0.13,0.0,0.0
2025,01202500000NB,3.0,3.1,67.1,ASP,0.16,0.0,0.0
2025,01202500000NB,3.1,3.2,61.6,ASP,0.13,0.0,0.0
2025,01202500000NB,3.2,3.3,58.0,ASP,0.09,0.0,0.0
2025,01202500000NB,3.3,3.4,67.3,ASP,0.14,0.0,0.0
2025,01202500000NB,3.4,3.5,69.8,ASP,0.13,0.0,0.0
2025,01202500000NB,3.5,3.6,59.0,ASP,0.11,0.0,1.0
2025,01202500000NB,3.6,3.7,72.2,ASP,0.15,0.0,0.0
2025,01202500000NB,3.7,3.8,66.4,ASP,0.15,0.0,0.0
2025,01202500000NB,3.8,3.9,71.6,ASP,0.15,0.0,0.7
2025,01202500000NB,3.9,4.0,99.7,ASP,0.16,0.0,0.2
2025,01202500000NB,4.0,4.1,81.7,ASP,0.11,0.0,0.8
2025,01202500000NB,4.1,4.2,85.3,ASP,0.13,0.0,0.0
2025,01202500000NB,4.2,4.3,93.2,ASP,0.18,0.0,0.0
2025,01202500000NB,4.3,4.4,87.2,ASP,0.2,0.0,0.0
2025,01202500000NB,4.4,4.5,87.9,ASP,0.2,0.0,0.0
2025,01202500000NB,4.5,4.6,68.2,ASP,0.15,0.0,0.0
2025,01202500000NB,4.6,4.7,75.7,ASP,0.17,0.0,0.0
2025,01202500000NB,4.7,4.8,76.5,ASP,0.17,0.0,0.2
2025,01202500000NB,4.8,4.9,104.3,ASP,0.19,0.0,1.8
2025,01202500000NB,4.9,5.0,92.0,ASP,0.13,0.0,5.4
2025,01202500000NB,5.0,5.1,73.1,ASP,0.19,0.0,2.2
2025,01202500000NB,5.1,5.2,165.7,ASP,0.3,0.0,8.8
2025,01202500000NB,5.2,5.3,138.6,ASP,0.18,0.0,4.5
2025,01202500000NB,5.3,5.4,111.9,ASP,0.16,0.0,17.2
2025,01202500000NB,5.4,5.5,184.6,ASP,0.11,0.0,6.7
