RouteID,BMP,EMP,Sample_ID,LRS_SURFACE_TYPE
3540091010000,0.0,0.2,350910100000,2.1
0730005000000,12.09,12.62,070050001209,2.1
18200330000EB,0.19,0.62,180330000000,2.1
18200330000EB,0.86,1.08,180330000086,2.1
18200330000EB,3.32,3.46,180330000332,2.1
18200330000EB,11.09,11.48,180330001109,2.1
18200330000EB,21.43,24.76,180330002143,2.1
0340005000000,5.42,6.96,030050000542,2.1
0340005000000,15.1,17.57,030050001510,2.1
2040049000000,0.68,1.17,200490000068,2.1
3140019190000,0.47,1.29,310191900047,2.1
3140019190000,1.29,1.7,310191900129,2.1
3140100010000,0.0,0.501,311000100000,2.1
0630527000100,0.0,0.19,06527A000000,2.1
4240009000000,0.0,0.18,420090000000,2.1
4240009000000,0.18,0.32,420090000020,2.1
0274256001900,0.0,0.66,020425600000,2.1
1040012000000,2.769,3.28,100120001900,2.1
04200190000NB,26.57,27.64,040190002657,2.1
2040012010000,0.0,0.6,200120100000,2.1
41200190023EB,0.0,0.033,41019C000000,2.1
41200190023EB,1.1,1.36,410190001100,3.0
3140064030000,0.0,0.29,310640300000,2.1
0330099000000,0.0,1.84,030990000000,2.1
0830016000000,19.19,20.35,080160001919,2.1
3140019220000,0.12,0.68,310019220012,2.1
3140019220000,0.68,1.07,310192200068,2.1
4140003180000,2.77,3.51,410031802770,2.1
5530010000000,24.14,24.38,550100002414,2.1
20100640000EB,45.39,47.44,200640004539,2.1
20100640000EB,48.4,49.75,200640004840,2.1
20100640000EB,49.75,50.11,200640004975,2.1
20100640000EB,51.56,52.38,200640005156,2.1
20100640000EB,53.75,54.37,200640005375,2.1
20100640000EB,54.37,54.8,200640005437,2.1
20100640000EB,54.8,55.21,200640005480,2.1
20100640000EB,55.21,56.33,200640005521,2.1
20100640000EB,56.33,57.02,200640005633,2.1
20100640000EB,57.02,57.48,200640005702,2.1
20100640000EB,57.48,57.92,200640005748,7.0
5040007000000,17.84,18.87,500070001784,2.1
5040007000000,19.35,19.76,500070001935,2.1
5475756001900,0.0,0.25,540575600000,2.1
2040060020000,2.13,3.0,200600200213,2.1
2540250550000,0.045,0.29,252505500045,2.1
1940013000000,7.368,7.58,190130007368,6.0
4240219220000,0.0,0.16,422192200000,2.1
4140006000000,0.0,0.14,410060000000,2.1
4140006000000,0.91,1.13,410060000091,2.1
4140011000000,0.0,1.26,410110000000,2.1
