RouteID,BMP,EMP,year_last_constructed_16_ValueDate,year_last_constructed_17_ValueDate,year_last_constructed_18_ValueDate
32202190000NB,16.1,16.18,,1921,1921
32202190000NB,16.18,16.2,,1921,1921
32202190000NB,16.2,16.3,,1921,1921
32202190000NB,16.3,16.4,,1921,1921
32202190000NB,16.4,16.5,,1921,1921
32202190000NB,16.5,16.6,,1921,1921
32202190000NB,16.6,16.7,,1921,1921
32202190000NB,16.7,16.8,,1921,1921
32202190000NB,16.8,16.9,,1921,1921
32202190000NB,16.9,17,,1921,1921
32202190000NB,17,17.1,,1921,1921
32202190000NB,17.1,17.2,,1921,1921
32202190000NB,17.2,17.3,,1921,1921
32202190000NB,17.3,17.4,,1921,1921
32202190000NB,17.4,17.5,,1921,1921
32202190000NB,17.5,17.6,,1921,1921
32202190000NB,17.6,17.7,,1921,1921
32202190000NB,17.7,17.8,,1921,1921
32202190000NB,17.8,17.9,,1921,1921
32202190000NB,17.9,18,,1921,1921
32202190000NB,18,18.1,,1921,1921
32202190000NB,18.1,18.2,,1921,1921
32202190000NB,18.2,18.3,,1921,1921
32202190000NB,18.3,18.4,,1921,1921
32202190000NB,18.4,18.5,,1921,1921
32202190000NB,18.5,18.6,,1921,1921
32202190000NB,18.6,18.7,,1921,1921
32202190000NB,18.7,18.8,,1921,1921
32202190000NB,18.8,18.9,,1921,1921
32202190000NB,18.9,19,,1921,1921
32202190000NB,19,19.1,,1921,1921
32202190000NB,19.1,19.2,,1921,1921
32202190000NB,19.2,19.24,,1921,1921
32202190000NB,19.24,19.3,,1921,1921
32202190000NB,19.3,19.4,,1921,1921
32202190000NB,19.4,19.5,,1921,1921
32202190000NB,19.5,19.6,,1921,1921
32202190000NB,19.6,19.66,,1921,1921
32202190000NB,19.66,19.7,2010,1921,1921
32202190000NB,19.7,19.8,2010,1921,1921
32202190000NB,19.8,19.9,2010,1921,1921
32202190000NB,19.9,20,2010,1921,1921
32202190000NB,20,20.1,2010,1921,1921
32202190000NB,20.1,20.2,2010,1921,1921
32202190000NB,20.2,20.3,2010,1921,1921
32202190000NB,20.3,20.4,2010,1921,1921
32202190000NB,20.4,20.5,2010,1921,1921
32202190000NB,20.5,20.6,2010,1921,1921
32202190000NB,20.6,20.7,2010,1921,1921
32202190000NB,20.7,20.8,2010,1921,1921
32202190000NB,20.8,20.9,2010,1921,1921
32202190000NB,20.9,21,2010,1921,1921
32202190000NB,21,21.1,2010,1921,1921
32202190000NB,21.1,21.2,2010,1921,1921
32202190000NB,21.2,21.3,2010,1921,1921
32202190000NB,21.3,21.4,2010,1921,1921
32202190000NB,21.4,21.5,2010,1921,1921
32202190000NB,21.5,21.6,2010,1921,1921
32202190000NB,21.6,21.7,2010,1921,1921
32202190000NB,21.7,21.8,2010,1921,1921
32202190000NB,21.8,21.9,2010,1921,1921
32202190000NB,21.9,22,2010,1921,1921
32202190000NB,22,22.1,2010,1921,1921
32202190000NB,22.1,22.2,2010,1921,1921
32202190000NB,22.2,22.3,2010,1921,1921
32202190000NB,22.3,22.4,2010,1921,1921
32202190000NB,22.4,22.5,2010,1921,1921
32202190000NB,22.5,22.6,2010,1921,1921
32202190000NB,22.6,22.7,2010,1921,1921
32202190000NB,22.7,22.8,2010,1921,1921
32202190000NB,22.8,22.9,2010,1921,1921
32202190000NB,22.9,23,2010,1921,1921
32202190000NB,24.92,25,,1921,1921
32202190000NB,25,25.1,,1921,1921
32202190000NB,25.1,25.2,,1921,1921
32202190000NB,25.2,25.3,,1921,1921
32202190000NB,25.3,25.4,,1921,1921
32202190000NB,25.4,25.5,,1921,1921
32202190000NB,25.5,25.6,,1921,1921
32202190000NB,25.6,25.7,,1921,1921
32202190000NB,25.7,25.8,,1921,1921
32202190000NB,25.8,25.9,,1921,1921
32202190000NB,25.9,25.93,,1921,1921
32202190000NB,25.93,26,,1921,1921
32202190000NB,26,26.1,,1921,1921
32202190000NB,26.1,26.2,,1921,1921
32202190000NB,26.2,26.24,,1921,1921
32202190000NB,26.24,26.3,2022,1921,1921
