RouteID|BMP|EMP|ValueDate|Comments|StateID|BeginDate|ValueNumeric|ValueText|DataItem
17200500000EB|13.78|13.8|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|13.8|13.9|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|13.9|14.0|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|14.0|14.03|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|14.03|14.2|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|14.2|14.25|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|14.25|14.324|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|14.324|14.6|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|14.6|14.64|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|14.96|15.3|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|15.3|15.31|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|15.31|15.46|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|15.465|15.57|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|15.68|15.7|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|15.7|16.24|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|17.7|17.79|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|17.79|18.0|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|18.0|18.1|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|18.1|18.2|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|18.32|18.45|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|18.45|18.52|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|18.52|18.8|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
17200500000EB|18.85|19.21|1933||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
21100790000NB|100.4|100.5|1974||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
21100790000NB|100.5|100.6|1974||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
21100790000NB|100.6|100.7|1974||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
21100790000NB|100.7|100.8|1974||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
21100790000NB|100.8|100.9|1974||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
21100790000NB|100.9|101.0|1974||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
21100790000NB|101.0|101.1|1974||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
21100790000NB|101.1|101.2|1974||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
21100790000NB|101.2|101.3|1974||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
21100790000NB|101.3|101.4|1974||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
21100790000NB|101.4|101.5|1974||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
21100790000NB|101.5|101.6|1974||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
21100790000NB|101.6|101.7|1974||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
21100790000NB|101.7|101.8|1974||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
21100790000NB|101.8|101.9|1974||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
21100790000NB|101.9|102.0|1974||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
21100790000NB|102.0|102.1|1974||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
21100790000NB|102.1|102.2|1974||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
21100790000NB|102.2|102.3|1974||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
21100790000NB|102.3|102.4|1974||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
21100790000NB|102.4|102.5|1974||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
21100790000NB|102.5|102.6|1974||54|01/01/2025|||YEAR_LAST_CONSTRUCTION
