RouteID|BMP|EMP|ValueNumeric|Comments|StateID|BeginDate|ValueDate|ValueText|DataItem
21100790000NB|101.8|101.9|9.0||54|01/01/2025|||THICKNESS_RIGID
21100790000NB|101.9|102.0|9.0||54|01/01/2025|||THICKNESS_RIGID
21100790000NB|102.0|102.1|9.0||54|01/01/2025|||THICKNESS_RIGID
21100790000NB|102.1|102.2|9.0||54|01/01/2025|||THICKNESS_RIGID
21100790000NB|102.2|102.3|9.0||54|01/01/2025|||THICKNESS_RIGID
21100790000NB|102.3|102.4|9.0||54|01/01/2025|||THICKNESS_RIGID
21100790000NB|102.4|102.5|9.0||54|01/01/2025|||THICKNESS_RIGID
21100790000NB|102.5|102.6|9.0||54|01/01/2025|||THICKNESS_RIGID
21100790000NB|102.6|102.7|9.0||54|01/01/2025|||THICKNESS_RIGID
21100790000NB|102.7|102.8|9.0||54|01/01/2025|||THICKNESS_RIGID
21100790000NB|102.8|102.9|9.0||54|01/01/2025|||THICKNESS_RIGID
21100790000NB|102.9|103.0|9.0||54|01/01/2025|||THICKNESS_RIGID
21100790000NB|103.0|103.1|9.0||54|01/01/2025|||THICKNESS_RIGID
21100790000NB|103.1|103.2|9.0||54|01/01/2025|||THICKNESS_RIGID
21100790000NB|103.2|103.3|9.0||54|01/01/2025|||THICKNESS_RIGID
21100790000NB|103.3|103.4|9.0||54|01/01/2025|||THICKNESS_RIGID
21100790000NB|103.4|103.5|9.0||54|01/01/2025|||THICKNESS_RIGID
21100790000NB|103.5|103.6|9.0||54|01/01/2025|||THICKNESS_RIGID
21100790000NB|103.6|103.7|9.0||54|01/01/2025|||THICKNESS_RIGID
21100790000NB|103.7|103.8|9.0||54|01/01/2025|||THICKNESS_RIGID
21100790000NB|103.8|103.9|9.0||54|01/01/2025|||THICKNESS_RIGID
21100790000NB|103.9|104.0|9.0||54|01/01/2025|||THICKNESS_RIGID
21100790000NB|104.0|104.1|9.0||54|01/01/2025|||THICKNESS_RIGID
21100790000NB|104.1|104.2|9.0||54|01/01/2025|||THICKNESS_RIGID
21100790000NB|104.2|104.3|9.0||54|01/01/2025|||THICKNESS_RIGID
21100790000NB|104.3|104.4|9.0||54|01/01/2025|||THICKNESS_RIGID
21100790000NB|104.4|104.5|9.0||54|01/01/2025|||THICKNESS_RIGID
21100790000NB|104.5|104.6|9.0||54|01/01/2025|||THICKNESS_RIGID
21100790000NB|104.6|104.7|9.0||54|01/01/2025|||THICKNESS_RIGID
21100790000NB|104.7|104.8|9.0||54|01/01/2025|||THICKNESS_RIGID
21100790000NB|104.8|104.9|9.0||54|01/01/2025|||THICKNESS_RIGID
21100790000NB|104.9|105.0|9.0||54|01/01/2025|||THICKNESS_RIGID
21100790000NB|105.0|105.1|9.0||54|01/01/2025|||THICKNESS_RIGID
21100790000NB|105.1|105.2|9.0||54|01/01/2025|||THICKNESS_RIGID
21100790000NB|105.2|105.3|9.0||54|01/01/2025|||THICKNESS_RIGID
21100790000NB|105.3|105.4|9.0||54|01/01/2025|||THICKNESS_RIGID
21100790000NB|105.4|105.5|9.0||54|01/01/2025|||THICKNESS_RIGID
21100790000NB|105.5|105.6|9.0||54|01/01/2025|||THICKNESS_RIGID
21100790000NB|105.6|105.7|9.0||54|01/01/2025|||THICKNESS_RIGID
21100790000NB|105.7|105.8|9.0||54|01/01/2025|||THICKNESS_RIGID
21100790000NB|105.8|105.9|9.0||54|01/01/2025|||THICKNESS_RIGID
21100790000NB|105.9|106.0|9.0||54|01/01/2025|||THICKNESS_RIGID
21100790000NB|106.0|106.1|9.0||54|01/01/2025|||THICKNESS_RIGID
21100790000NB|106.1|106.2|9.0||54|01/01/2025|||THICKNESS_RIGID
21100790000NB|106.2|106.3|9.0||54|01/01/2025|||THICKNESS_RIGID
21100790000NB|106.3|106.4|9.0||54|01/01/2025|||THICKNESS_RIGID
25100790000NB|129.22|129.52|9.0||54|01/01/2025|||THICKNESS_RIGID
25100790000NB|129.52|129.8|9.0||54|01/01/2025|||THICKNESS_RIGID
25100790000NB|129.8|129.9|9.0||54|01/01/2025|||THICKNESS_RIGID
25100790000NB|129.9|130.19|9.0||54|01/01/2025|||THICKNESS_RIGID
25100790000NB|130.19|130.48|9.0||54|01/01/2025|||THICKNESS_RIGID
25100790000NB|130.78|132.8|9.0||54|01/01/2025|||THICKNESS_RIGID
25100790000NB|132.8|133.0|9.0||54|01/01/2025|||THICKNESS_RIGID
25100790000NB|136.64|136.8|9.0||54|01/01/2025|||THICKNESS_RIGID
25100790000NB|136.8|137.874|9.0||54|01/01/2025|||THICKNESS_RIGID
25100790000NB|139.1|139.82|9.0||54|01/01/2025|||THICKNESS_RIGID
