,RouteId,BeginPoint,EndPoint,BaseTypeVn,SampleId,SurfaceTypeVn
2079,2730002000000,30.9857,31.0,,270002002927,6
2080,2730002000000,32.29,32.3,,270002002927,6
2081,2730002000000,34.3,34.31,,270002002927,6
2082,2730002000000,35.1198,35.13,,270002002927,6
2083,2730002000000,30.832,30.836,,270002002927,6
2084,2730002000000,29.3,29.4,,270002002927,6
2085,2730002000000,29.4,29.5,,270002002927,6
2086,2730002000000,29.27,29.3,,270002002927,6
2087,2730002000000,33.1,33.19,,270002002927,6
2088,2730002000000,32.8,32.9,,270002002927,6
2089,2730002000000,32.9,33.0,,270002002927,6
2090,2730002000000,33.0,33.1,,270002002927,6
2091,2730002000000,33.19,33.2,,270002002927,6
2092,2730002000000,35.9,35.98,,270002002927,6
2093,2730002000000,35.6,35.7,,270002002927,6
2094,2730002000000,35.7,35.8,,270002002927,6
2095,2730002000000,35.8,35.9,,270002002927,6
2096,18100770000NB,128.9,129.0,,180770012833,6
2097,18100770000NB,129.1,129.2,,180770012833,6
2098,18100770000NB,129.2,129.3,,180770012833,6
2099,18100770000NB,129.3,129.4,,180770012833,6
2100,18100770000NB,129.4,129.5,,180770012833,6
2101,18100770000NB,129.5,129.5804,,180770012833,6
2102,18100770000NB,129.6,129.7,,180770012833,6
2103,18100770000NB,129.7,129.8,,180770012833,6
2104,18100770000NB,129.9,130.0,,180770012833,6
2105,18100770000NB,130.0,130.1,,180770012833,6
2106,18100770000NB,130.1,130.2,,180770012833,6
2107,18100770000NB,130.2,130.3,,180770012833,6
2108,18100770000NB,130.3,130.4,,180770012833,6
2109,18100770000NB,130.4,130.5,,180770012833,6
2110,18100770000NB,130.5,130.6,,180770012833,6
2111,18100770000NB,130.6,130.7,,180770012833,6
2112,18100770000NB,131.0,131.1,,180770012833,6
2113,18100770000NB,131.1,131.2,,180770012833,6
2114,18100770000NB,131.2,131.3,,180770012833,6
2115,18100770000NB,131.3,131.4,,180770012833,6
2116,18100770000NB,131.4,131.5,,180770012833,6
2117,18100770000NB,131.5,131.6,,180770012833,6
2118,18100770000NB,131.6,131.7,,180770012833,6
2119,18100770000NB,131.7,131.8,,180770012833,6
2120,18100770000NB,131.9,132.0,,180770012833,6
2121,18100770000NB,132.0,132.0929,,180770012833,6
2122,18100770000NB,132.1,132.2,,180770012833,6
2123,18100770000NB,132.2,132.3,,180770012833,6
2124,18100770000NB,130.8,130.9,,180770012833,6
2125,18100770000NB,130.9,131.0,,180770012833,6
2126,18100770000NB,129.0,129.1,,180770012833,6
2127,18100770000NB,131.8,131.8661,,180770012833,6
2128,18100770000NB,131.8661,131.9,,180770012833,6
2129,18100770000NB,132.3,132.347,,180770012833,6
2130,18100770000NB,129.8112,129.861,,180770012833,6
2131,18100770000NB,130.771,130.8,,180770012833,6
2132,18100770000NB,132.3576,132.381,,180770012833,6
2133,18100770000NB,132.381,132.4,,180770012833,6
2134,18100770000NB,129.861,129.891,,180770012833,6
2135,18100770000NB,130.702,130.745,,180770012833,6
2136,18100770000NB,130.745,130.7604,,180770012833,6
2137,18100770000NB,129.5804,129.6,,180770012833,6
2138,18100770000NB,129.8,129.8112,,180770012833,6
2139,18100770000NB,132.347,132.3576,,180770012833,6
2140,18100770000NB,130.7604,130.771,,180770012833,6
2141,18100770000NB,132.0929,132.1,,180770012833,6
2142,18100770000NB,129.891,129.9,,180770012833,6
2143,18100770000NB,130.7,130.702,,180770012833,6
2144,18100770000NB,126.3,126.39,,180770012492,6
2145,18100770000NB,125.2051,125.3,,180770012492,6
2146,18100770000NB,125.3,125.4,,180770012492,6
2147,18100770000NB,125.4,125.5,,180770012492,6
2148,18100770000NB,125.5,125.6,,180770012492,6
2149,18100770000NB,125.6,125.7,,180770012492,6
2150,18100770000NB,125.7,125.8,,180770012492,6
2151,18100770000NB,125.8,125.9,,180770012492,6
2152,18100770000NB,127.1,127.2,,180770012639,6
2153,18100770000NB,127.2046,127.3,,180770012639,6
2154,18100770000NB,127.3,127.4,,180770012639,6
2155,18100770000NB,127.4,127.5,,180770012639,6
2156,18100770000NB,127.5,127.6,,180770012639,6
2157,18100770000NB,127.6,127.7,,180770012639,6
2158,18100770000NB,127.7,127.8,,180770012639,6
2159,18100770000NB,127.8,127.9,,180770012639,6
2160,18100770000NB,127.9,128.0,,180770012639,6
2161,18100770000NB,128.0,128.1,,180770012639,6
2162,18100770000NB,128.1,128.2,,180770012639,6
2163,18100770000NB,128.2,128.2999,,180770012639,6
2164,18100770000NB,128.6,128.7,,180770012833,6
2165,18100770000NB,128.7,128.8,,180770012833,6
2166,18100770000NB,128.8,128.9,,180770012833,6
2167,18100770000NB,125.9,126.0,,180770012492,6
2168,18100770000NB,126.0,126.1,,180770012492,6
2169,18100770000NB,126.1,126.2,,180770012492,6
2170,18100770000NB,126.2,126.3,,180770012492,6
