,RouteId,BeginPoint,EndPoint,NhsVn,FacilityTypeVn,FsystemVn
397,20100770017NB0116A,0.253,0.297,,4,1
398,20100770017SB0116D,0.0,0.021,,4,1
399,20100770017NB0116A,0.249,0.253,,4,1
400,20100770017SB0116D,0.021,0.025,,4,1
401,18100770017NB0124A,0.0,0.318,,4,1
402,18100770017SB0124D,0.0,0.379,,4,1
403,18100770017SB0119D,0.043,0.335,,4,1
404,18100770017NB0124B,0.0,0.285,,4,1
405,18100770017SB0119C,0.0,0.275,,4,1
406,18100770017SB0124C,0.0,0.334,,4,1
407,18100770017NB0119B,0.178,0.381,,4,1
408,18100770017NB0119A,0.0,0.245,,4,1
409,18100770017NB0119B,0.0,0.1124,,4,1
410,18100770017NB0119B,0.126,0.178,,4,1
411,18100770017NB0119A,0.245,0.275,,4,1
412,18100770017SB0119D,0.0,0.017,,4,1
413,18100770017SB0119D,0.017,0.043,,4,1
414,18100770017NB0119B,0.1124,0.126,,4,1
415,18100770017NB0119A,0.275,0.29,,4,1
416,18100770017NB0132A,0.0,0.2901,,4,1
417,18100770017SB0132D,0.0,0.332,,4,1
418,18100770017SB0132C,0.0,0.2583,,4,1
419,18100770017SB0132G,0.0,0.055,,4,1
420,18100770017SB0132C,0.2583,0.28,,4,1
421,18100770017NB0132B,0.0,0.312,,4,1
422,18100770017NB0138B,0.0,0.291,,4,1
423,18100770017NB0138A,0.053,0.231,,4,1
424,18100770017SB0138D,0.0,0.1392,,4,1
425,18100770017SB0138D,0.1392,0.207,,4,1
426,18100770017NB0138A,0.0,0.053,,4,1
427,18100770017NB0132A,0.2901,0.345,,4,1
428,18100770017NB0132E,0.0,0.018,,4,1
429,18100770017SB0138G,0.0,0.023,,4,1
430,18100770017NB0146A,0.0,0.216,,4,1
431,18100770017SB0146C,0.0,0.1962,,4,1
432,18100770017SB0146C,0.1962,0.238,,4,1
433,18100770017SB0146G,0.0,0.03,,4,1
434,18100770017NB0146B,0.0,0.018,,4,1
435,18100770017SB0146H,0.0,0.024,,4,1
436,18100770017NB0154B,0.0,0.351,,4,1
437,18100770017SB0154D,0.0,0.337,,4,1
438,18100770017NB0154A,0.0,0.309,,4,1
439,18100770017SB0154C,0.0,0.164,,4,1
440,18100770017SB0154C,0.164,0.172,,4,1
441,18100770017SB0154C,0.172,0.185,,4,1
442,28100770017NB0001B,0.0069,0.459,,4,1
443,28100770017SB0001C,0.0,0.3358,,4,1
444,28100770017NB0001A,0.0,0.258,,4,1
445,28100770017SB0001D,0.0,0.2732,,4,1
446,28100770017SB0001C,0.3358,0.413,,4,1
447,28100770017SB0001G,0.0,0.0442,,4,1
448,28100770017SB0001D,0.2783,0.315,,4,1
449,28100770017NB0001B,0.0,0.0069,,4,1
450,28100770017SB0001G,0.0442,0.05,,4,1
451,28100770017SB0001D,0.2732,0.2783,,4,1
452,28100770017NB0005B,0.0,0.312,,4,1
453,28100770017NB0007A,0.0,0.2458,,4,1
454,28100770017SB0005C,0.0,0.1426,,4,1
455,28100770017NB0007A,0.2628,0.3637,,4,1
456,28100770017SB0007D,0.0245,0.186,,4,1
457,28100770017SB0007D,0.0,0.0245,,4,1
458,28100770017NB0007A,0.2458,0.2628,,4,1
459,28100770017NB0007A,0.3637,0.385,,4,1
460,28100770017NB0007E,0.0,0.019,,4,1
461,28100770017SB0005C,0.1426,0.159,,4,1
462,28100770017SB0005G,0.0,0.015,,4,1
463,28100770017NB0009B,0.0303,0.471,,4,1
464,28100770017NB0009A,0.0,0.45,,4,1
465,28100770017NB0013A,0.0,0.384,,4,1
466,28100770017SB0009C,0.0,0.4805,,4,1
467,28100770017SB0009D,0.0,0.228,,4,1
468,28100770017SB0013C,0.046,0.224,,4,1
469,28100770017NB0013B,0.127,0.198,,4,1
470,28100770017SB0013D,0.143,0.266,,4,1
471,28100770017SB0013C,0.0,0.046,,4,1
472,28100770017NB0013B,0.198,0.231,,4,1
473,28100770017SB0013D,0.0,0.084,,4,1
474,28100770017SB0013D,0.084,0.143,,4,1
475,28100770017NB0013B,0.0,0.077,,4,1
476,28100770017NB0013B,0.077,0.125,,4,1
477,28100770017SB0013C,0.224,0.272,,4,1
478,28100770017NB0009B,0.0,0.0303,,4,1
479,28100770017NB0009F,0.0,0.042,,4,1
480,28100770017SB0009C,0.4805,0.493,,4,1
481,28100770017SB0013C,0.272,0.301,,4,1
482,28100770017NB0013B,0.125,0.127,,4,1
483,28100770017SB0020D,0.0038,0.4437,,4,1
484,28100770017SB0020C,0.0,0.459,,4,1
485,28100770017NB0020A,0.0045,0.549,,4,1
486,28100770017NB0020B,0.0,0.2518,,4,1
487,28100770017SB0020D,0.4437,0.467,,4,1
488,28100770017SB0020D,0.0,0.0038,,4,1
489,28100770017NB0020B,0.2518,0.255,,4,1
490,28100770017NB0020A,0.0,0.0045,,4,1
491,41100770017NB0028A,0.0,0.36,,4,1
492,41100770017SB0028D,0.0,0.407,,4,1
493,41100770017SB0028C,0.0,0.327,,4,1
494,41100770017SB0044D,0.0,0.599,,4,1
495,41100770017NB0044A,0.0,0.549,,4,1
496,41100770017NB0042B,0.3265,0.751,,4,1
497,41100770017NB0042A,0.0673,0.3905,,4,1
498,41100770017NB0042A,0.5142,0.697,,4,1
499,41100770017SB0042D,0.0821,0.4605,,4,1
500,41100770017NB0042A,0.3905,0.5142,,4,1
501,41100770017SB0042C,0.033,0.3399,,4,1
502,41100770017SB0042C,0.3534,0.447,,4,1
503,41100770017NB0042B,0.1881,0.3265,,4,1
504,41100770017SB0042D,0.0,0.0661,,4,1
505,41100770017SB0042D,0.4794,0.632,,4,1
506,41100770017NB0042E,0.0,0.1003,,4,1
507,41100770017NB0042F,0.3022,0.424,,4,1
508,41100770017NB0042B,0.0783,0.1881,,4,1
509,41100770017NB0042A,0.0,0.0468,,4,1
510,41100770017SB0042C,0.0,0.026,,4,1
511,41100770017NB0042F,0.0,0.0255,,4,1
512,41100770017SB0042D,0.0661,0.0797,,4,1
513,41100770017NB0042F,0.0307,0.0451,,4,1
514,41100770017SB0042C,0.3399,0.3534,,4,1
515,41100770017SB0042D,0.4605,0.47,,4,1
516,41100770017NB0042A,0.0557,0.0673,,4,1
517,41100770017NB0042F,0.0451,0.0499,,4,1
518,41100770017SB0042C,0.026,0.032,,4,1
519,41100770017NB0042F,0.0255,0.0307,,4,1
520,41100770017SB0042D,0.47,0.4794,,4,1
521,41100770017NB0042A,0.0468,0.0557,,4,1
522,41100770017SB0042D,0.0797,0.0821,,4,1
523,41100770017SB0048D,0.0,0.4813,,4,1
524,41100770017NB0044B,0.0,0.428,,4,1
525,41100770017NB0045A,0.0,0.397,,4,1
526,41100770017NB0045B,0.0,0.6,,4,1
527,41100770017SB0044C,0.0,0.396,,4,1
528,41100770017SB0045C,0.0,0.397,,4,1
529,41100770017NB0048B,0.0788,0.669,,4,1
530,41100770017NB0048A,0.0,0.5555,,4,1
531,41100770017SB0048C,0.0,0.336,,4,1
532,41100770017SB0048D,0.4813,0.556,,4,1
