,RouteId,BeginPoint,EndPoint,LaneWidthVn,SampleId
5090,18200330000EB,22.16,22.2,,180330002143
5091,18200330000EB,22.1,22.136,,180330002143
5092,18200330000EB,22.142,22.16,,180330002143
5093,18200330000EB,22.136,22.142,,180330002143
5094,1830002000000,0.1,0.2,,180020000000
5095,1830002000000,1.4,1.5,,180020000000
5096,1830002000000,2.2,2.3,,180020000000
5097,1830002000000,2.9,2.9989,,180020000276
5098,1830002000000,3.0,3.1,,180020000276
5099,1830002000000,0.0,0.1,,180020000000
5100,1830002000000,2.87,2.9,,180020000276
5101,1830002000000,0.2,0.3,,180020000000
5102,1830002000000,0.3,0.4,,180020000000
5103,1830002000000,0.4,0.5,,180020000000
5104,1830002000000,0.5,0.6,,180020000000
5105,1830002000000,0.6,0.7,,180020000000
5106,1830002000000,0.7,0.8,,180020000000
5107,1830002000000,2.0,2.1,,180020000000
5108,1830002000000,3.3,3.4,,180020000276
5109,1830002000000,3.4,3.5,,180020000276
5110,1830002000000,3.5,3.6,,180020000276
5111,1830002000000,3.607,3.7,,180020000276
5112,1830002000000,0.8,0.9,,180020000000
5113,1830002000000,2.3,2.4,,180020000000
5114,1830002000000,2.4,2.5,,180020000000
5115,1830002000000,2.5,2.6,,180020000000
5116,1830002000000,2.6,2.7,,180020000000
5117,1830002000000,1.2,1.3,,180020000000
5118,1830002000000,1.3,1.4,,180020000000
5119,1830002000000,1.5037,1.6,,180020000000
5120,1830002000000,1.6,1.7,,180020000000
5121,1830002000000,1.7,1.8,,180020000000
5122,1830002000000,1.8,1.9,,180020000000
5123,1830002000000,1.9,2.0,,180020000000
5124,1830002000000,3.11,3.2,,180020000276
5125,1830002000000,1.1,1.2,,180020000000
5126,1830002000000,2.13,2.2,,180020000000
5127,1830002000000,2.8,2.87,,180020000276
5128,1830002000000,3.2481,3.3,,180020000276
5129,1830002000000,3.7,3.7579,,180020000276
5130,1830002000000,3.7579,3.8,,180020000276
5131,1830002000000,3.2,3.2481,,180020000276
5132,1830002000000,0.9,1.0,,180020000000
5133,1830002000000,1.0,1.05,,180020000000
5134,1830002000000,1.05,1.1,,180020000000
5135,1830002000000,3.827,3.88,,180020000276
5136,1830002000000,3.1,3.11,,180020000276
