,RouteId,BeginPoint,EndPoint,RouteNumber,FsystemVn,NhsVn,FacilityTypeVn,RouteSigning,DirThroughLanesVn,IriVn
419,06100640000WB,19.7,19.721,,1,1,6,,2,145
420,06100640000WB,20.0,20.0112,,1,1,6,,2,73
421,06100640000WB,19.5,19.5089,,1,1,6,,2,90
422,06100640000WB,22.489,22.5,,1,1,6,,2,123
423,06100640000WB,20.193,20.2,,1,1,6,,2,61
424,06100640000WB,23.034,23.05,,1,1,6,,2,121
425,06100640000WB,23.05,23.056,,1,1,6,,2,121
426,06100640000WB,19.721,19.7373,,1,1,6,,2,145
427,06100640000WB,19.7373,19.7427,,1,1,6,,2,145
428,06100640000WB,21.82,21.8276,,1,1,6,,2,114
429,06100640000WB,23.9634,23.97,,1,1,6,,2,114
430,06100640000WB,19.7427,19.747,,1,1,6,,2,145
431,06100640000WB,24.7,24.8,,1,1,6,,2,33
432,06100640000WB,25.0,25.1,,1,1,6,,2,33
433,06100640000WB,25.3,25.4,,1,1,6,,2,73
434,06100640000WB,25.6,25.7,,1,1,6,,2,25
435,06100640000WB,26.0,26.1,,1,1,6,,2,25
436,06100640000WB,26.3,26.4,,1,1,6,,2,21
437,06100640000WB,26.6,26.7,,1,1,6,,2,38
438,06100640000WB,26.9,27.0,,1,1,6,,2,29
439,06100640000WB,27.2,27.3,,1,1,6,,2,41
440,06100640000WB,28.6,28.7,,1,1,6,,2,43
441,06100640000WB,24.9267,25.0,,1,1,6,,2,32
442,06100640000WB,27.7,27.784,,1,1,6,,2,47
443,06100640000WB,29.317,29.4,,1,1,6,,2,35
444,06100640000WB,24.53,24.6,,1,1,6,,2,30
445,06100640000WB,24.6,24.7,,1,1,6,,2,30
446,06100640000WB,24.8,24.9,,1,1,6,,2,27
447,06100640000WB,26.7,26.8,,1,1,6,,2,25
448,06100640000WB,26.8,26.8755,,1,1,6,,2,29
449,06100640000WB,27.31,27.4,,1,1,6,,2,52
450,06100640000WB,27.4,27.5,,1,1,6,,2,75
451,06100640000WB,27.6,27.7,,1,1,6,,2,35
452,06100640000WB,27.9,27.9778,,1,1,6,,2,41
453,06100640000WB,28.0,28.1,,1,1,6,,2,29
454,06100640000WB,28.1,28.2,,1,1,6,,2,31
455,06100640000WB,28.2,28.2983,,1,1,6,,2,32
456,06100640000WB,29.2,29.3,,1,1,6,,2,31
457,06100640000WB,29.1,29.2,,1,1,6,,2,30
458,06100640000WB,29.0,29.1,,1,1,6,,2,38
459,06100640000WB,28.8,28.9,,1,1,6,,2,33
460,06100640000WB,28.5,28.6,,1,1,6,,2,31
461,06100640000WB,28.3,28.4,,1,1,6,,2,30
462,06100640000WB,28.4,28.5,,1,1,6,,2,32
