BeginDate|StateID|RouteID|BeginPoint|EndPoint|Data_Item|Value_Numeric|Value_Text|Value_Date|Comments
12/31/2021|54|0140076020000|0.0|0.15|ACCESS_CONTROL|3|||
12/31/2021|54|0140076030000|0.0|0.35|ACCESS_CONTROL|3|||
12/31/2021|54|0140076040000|0.0|0.12|ACCESS_CONTROL|3|||
12/31/2021|54|0140076050000|0.0|0.07|ACCESS_CONTROL|3|||
12/31/2021|54|0140076060000|0.0|0.08|ACCESS_CONTROL|3|||
12/31/2021|54|0140076070000|0.0|0.02|ACCESS_CONTROL|3|||
12/31/2021|54|0140076080000|0.0|0.05|ACCESS_CONTROL|3|||
12/31/2021|54|0140076090000|0.0|0.21|ACCESS_CONTROL|3|||
12/31/2021|54|0140076100000|0.0|0.02|ACCESS_CONTROL|3|||
12/31/2021|54|0140076110000|0.0|0.17|ACCESS_CONTROL|3|||
12/31/2021|54|0140076120000|0.0|0.09|ACCESS_CONTROL|3|||
12/31/2021|54|0140077010000|0.0|1.44|ACCESS_CONTROL|3|||
12/31/2021|54|0140077020000|0.0|2.08|ACCESS_CONTROL|3|||
12/31/2021|54|0140077030000|0.0|0.99|ACCESS_CONTROL|3|||
12/31/2021|54|0140077040000|0.0|0.68|ACCESS_CONTROL|3|||
12/31/2021|54|0140077050000|0.0|1.05|ACCESS_CONTROL|3|||
12/31/2021|54|0140077060000|0.0|0.85|ACCESS_CONTROL|3|||
12/31/2021|54|0140077070000|0.0|0.94|ACCESS_CONTROL|3|||
12/31/2021|54|0140077080000|0.0|0.26|ACCESS_CONTROL|3|||
12/31/2021|54|0140092010000|0.0|1.7|ACCESS_CONTROL|3|||
12/31/2021|54|0140092020000|0.0|3.53|ACCESS_CONTROL|3|||
12/31/2021|54|0140092030000|0.0|1.22|ACCESS_CONTROL|3|||
12/31/2021|54|0140092040000|0.0|1.51|ACCESS_CONTROL|3|||
12/31/2021|54|0140092040000|1.53|3.07|ACCESS_CONTROL|3|||
